,posts,token
43,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
44,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
45,#同居后最容易闹矛盾的点#你觉得同居多久适合结婚？？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 你 觉得 同居 居多 多久 适合 结婚   
46,和猫同居以后，除了陪伴还有这个#同居后最容易闹矛盾的点# #喵星人# 搞怪的小萌宠的微博视频,和 猫 同居 以后   除了 陪伴 还有 这个 # 同居 后 最 容易 闹矛盾 矛盾 的 点 # # 喵 星 人 #  搞怪 的 小 萌 宠 的 微 博 视频
47,"#同居后最容易闹矛盾的点#
爱向往，未相守。几人纠缠在情感的泥潭，牵扯出了一段悲伤恋歌。付出了自己的情感，因为没有说出口的执着情感，而没能在一起，离愁别绪让人惋惜。爱了，珍惜，莫要等失去后追悔莫及。留一段幸福在身边，真爱莫放手。","# 同居 后 最 容易 闹矛盾 矛盾 的 点 #
 爱 向往   未 相守   几 人 纠缠 在 情感 的 泥潭   牵扯 出 了 一段 悲伤 恋歌   付出 了 自己 的 情感   因为 没有 说出 出口 的 执着 情感   而 没能 在 一起   离愁 离愁别绪 别绪 让 人 惋惜   爱 了   珍惜   莫要 等 失去 后 追悔 追悔莫及 莫及   留 一段 幸福 在 身边   真爱 莫 放手  "
48,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
49,"#男朋友不在社交网络公布你#
你男朋友的朋友圈为什么从来不秀恩爱?

1.他觉得你长得不够好看
2.他在给自己留有余地
3.“他不止你一个女朋友”
4.单纯的不喜欢这样的社交方式

快看看你们是这几种原因吗
#同居后最容易闹矛盾的点#","# 男朋友 朋友 不在 社交 网络 公布 你 #
 你 男朋友 朋友 的 朋友 朋友圈 为什么 什么 从来 从来不 秀 恩爱  

1  他 觉得 你 长 得 不够 好看 
2  他 在 给 自己 留有 留有余地 有余 余地 
3   他 不止 你 一个 女朋友 朋友  
4  单纯 的 不 喜欢 这样 的 社交 方式 

 快 看看 你们 是 这 几种 原因 吗 
# 同居 后 最 容易 闹矛盾 矛盾 的 点 #"
50,#同居后最容易闹矛盾的点##情侣#每个人都有缺点 应该多点包容少点抱怨 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 每个 个人 都 有 缺点   应该 多点 包容 少点 抱怨   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
51,#同居后最容易闹矛盾的点#最大的矛盾就是它要拆了我的家，我要对它动手。,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 最大 的 矛盾 就是 它 要 拆 了 我 的 家   我 要 对 它 动手  
52,#情侣##同居后最容易闹矛盾的点# 恋爱初期最好保持一定距离，距离产生美 网页链接,# 情侣 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 #  恋爱 初期 最好 保持 一定 距离   距离 产生 美   网页 链接
53,"在爱情中，如果你太爱一个人，你就会特别重视，你对他的要求会越高，最后你们就会分手，如果你不爱他，最后你也不会嫁给他，所以最合适的人，一定是比较像亲人的人，才能够和你走到最后。
#同居后最容易闹矛盾的点#","在 爱情 中   如果 你 太 爱 一个 个人   你 就 会 特别 重视   你 对 他 的 要求 会 越 高   最后 你们 就 会分 分手   如果 你 不 爱 他   最后 你 也 不会 嫁给 他   所以 最合适 合适 的 人   一定 是 比较 像 亲人 的 人   才能 能够 和 你 走到 最后  
# 同居 后 最 容易 闹矛盾 矛盾 的 点 #"
54,#同居后最容易闹矛盾的点#你认为情侣同居以后最难忍受对方的问题是什么？ 长春大队长的微博投票,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 你 认为 情侣 同居 以后 最难 难忍 忍受 对方 的 问题 是 什么    长春 大队 大队长 队长 的 微 博 投票
55,"#同居后最容易闹矛盾的点#在知乎上看到一篇妈妈写给女儿关于同居的看法：“同居关系，能够使你们更好的去体验双方精神上有没有共同的追求。

相处之后，时间的磨砺，露出两个人的矛盾、无聊甚至丑陋的一面的时候，才能更好的审视精神上是否协调一致，是否有更多的相同的追求，而这在恋爱中，你很难去体 ...全文","# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 在 知 乎 上 看到 一篇 妈妈 写给 女儿 关于 同居 的 看法    同居 关系   能够 使 你们 更好 的 去 体验 双方 精神 上有 有没有 没有 共同 的 追求  

 相处 之后   时间 的 磨砺   露出 两个 个人 的 矛盾   无聊 甚至 丑陋 的 一面 的 时候   才能 更好 的 审视 精神 上 是否 协调 协调一致 一致   是否 有 更多 的 相同 的 追求   而 这 在 恋爱 中   你 很 难 去 体      全文"
56,【法律常识：关于同居关系的相关法律问题】同居关系等于事实婚姻吗？ 同居期间发生暴力算家暴吗？ 解除同居关系时财产如何分割？详见↓ ↓ ↓ #同居后最容易闹矛盾的点#(@法制网 ）,  法律 法律常识 常识   关于 同居 关系 的 相关 关法 法律 问题   同居 关系 等于 事实 事实婚 婚姻 吗    同居 期间 发生 暴力 算 家暴 吗    解除 同居 关系 时 财产 如何 分割   详见       # 同居 后 最 容易 闹矛盾 矛盾 的 点 #   法制 法制网   
57,"#同居后最容易闹矛盾的点#
《和喵星人同居的日子》本以为是个治愈系的小短片，没想到是个单虐狗的故事影视分析师的微博视频","# 同居 后 最 容易 闹矛盾 矛盾 的 点 #
  和 喵 星 人 同居 的 日子   本 以为 是 个 治愈 系 的 小 短片   没想 没想到 想到 是 个 单 虐 狗 的 故事 影视 分析 分析师 的 微 博 视频"
58,#情侣##同居后最容易闹矛盾的点#同居生活就是结婚生活。好的婚姻其实就是有爱的加持。如果有爱，就可以一直过下去，反之亦然。 网页链接,# 情侣 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 # 同居 生活 就是 结婚 生活   好 的 婚姻 其实 就是 有 爱 的 加持   如果 有 爱   就 可以 一直 过 下去   反之 反之亦然 亦然    网页 链接
59,"#情侣##同居后最容易闹矛盾的点#最容易是生活习惯上的冲突。
一开始同居的时候，习惯了以前衣来伸手，饭来张口（洗衣服晾衣服，做饭洗碗都是家人完成）
一开始就是各种立规定和协调争吵。
最重要还是沟通，磨合，适当让步。 网页链接","# 情侣 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 # 最 容易 是 生活 生活习惯 习惯 惯上 的 冲突  
 一开 开始 同居 的 时候   习惯 了 以前 衣来伸手 伸手   饭来张口 张口   洗衣 洗衣服 衣服 晾衣 晾衣服 衣服   做饭 洗碗 都 是 家人 完成  
 一开 开始 就是 各种 立 规定 和 协调 争吵  
 最重 重要 还是 沟通   磨合   适当 让步    网页 链接"
